,precision,recall,f1-score,support
D,0.0,0.0,0.0,1.0
CC,1.0,0.5,0.6666666666666666,2.0
CCC-,1.0,1.0,1.0,3.0
CCC,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
CCC+,1.0,0.625,0.7692307692307693,8.0
B-,0.5454545454545454,0.5,0.5217391304347826,12.0
B,0.7777777777777778,0.7,0.7368421052631579,10.0
B+,0.625,0.625,0.625,8.0
BB-,0.5555555555555556,0.7692307692307693,0.6451612903225806,13.0
BB,0.6428571428571429,0.5294117647058824,0.5806451612903226,17.0
BB+,0.6428571428571429,0.5,0.5625,18.0
BBB-,0.6666666666666666,0.4827586206896552,0.56,29.0
BBB,0.6470588235294118,0.8918918918918919,0.75,37.0
BBB+,0.75,0.6,0.6666666666666666,25.0
A-,0.7241379310344828,0.875,0.7924528301886793,24.0
A,0.7083333333333334,0.8095238095238095,0.7555555555555555,21.0
A+,0.7142857142857143,0.7142857142857143,0.7142857142857143,7.0
AA-,1.0,1.0,1.0,1.0
AA,1.0,1.0,1.0,2.0
AA+,0.0,0.0,0.0,0.0
AAA,0.0,0.0,0.0,0.0
accuracy,0.6804979253112033,0.6804979253112033,0.6804979253112033,0.6804979253112033
macro avg,0.6349199031754813,0.5931159954124312,0.6038132963446776,241.0
weighted avg,0.6859928410547872,0.6804979253112033,0.6723723480457224,241.0
