,precision,recall,f1-score,support
D,0.0,0.0,0.0,1.0
CC,0.25,0.5,0.3333333333333333,2.0
CCC-,0.6,1.0,0.75,3.0
CCC,0.2222222222222222,0.6666666666666666,0.3333333333333333,3.0
CCC+,0.8,0.5,0.6153846153846154,8.0
B-,0.5,0.25,0.3333333333333333,12.0
B,0.3333333333333333,0.3,0.3157894736842105,10.0
B+,0.35714285714285715,0.625,0.45454545454545453,8.0
BB-,0.3181818181818182,0.5384615384615384,0.4,13.0
BB,0.5,0.29411764705882354,0.37037037037037035,17.0
BB+,0.4444444444444444,0.2222222222222222,0.2962962962962963,18.0
BBB-,0.4117647058823529,0.2413793103448276,0.30434782608695654,29.0
BBB,0.56,0.3783783783783784,0.45161290322580644,37.0
BBB+,0.5185185185185185,0.56,0.5384615384615384,25.0
A-,0.5454545454545454,0.75,0.631578947368421,24.0
A,0.6470588235294118,0.5238095238095238,0.5789473684210527,21.0
A+,0.3157894736842105,0.8571428571428571,0.46153846153846156,7.0
AA-,0.25,1.0,0.4,1.0
AA,0.4,1.0,0.5714285714285714,2.0
AA+,0.0,0.0,0.0,0.0
AAA,0.0,0.0,0.0,0.0
accuracy,0.45643153526970953,0.45643153526970953,0.45643153526970953,0.45643153526970953
macro avg,0.37971003535208164,0.4860561020992781,0.3876334203243693,241.0
weighted avg,0.4886195710700162,0.45643153526970953,0.4462670135987742,241.0
