,precision,recall,f1-score,support
D,0.0,0.0,0.0,1.0
CC,1.0,0.5,0.6666666666666666,2.0
CCC-,1.0,1.0,1.0,3.0
CCC,0.4,0.6666666666666666,0.5,3.0
CCC+,1.0,0.625,0.7692307692307693,8.0
B-,0.9,0.75,0.8181818181818182,12.0
B,0.875,0.7,0.7777777777777778,10.0
B+,0.6,0.75,0.6666666666666666,8.0
BB-,0.6428571428571429,0.6923076923076923,0.6666666666666666,13.0
BB,0.8461538461538461,0.6470588235294118,0.7333333333333333,17.0
BB+,0.6666666666666666,0.4444444444444444,0.5333333333333333,18.0
BBB-,0.6129032258064516,0.6551724137931034,0.6333333333333333,29.0
BBB,0.6739130434782609,0.8378378378378378,0.7469879518072289,37.0
BBB+,0.88,0.88,0.88,25.0
A-,0.8636363636363636,0.7916666666666666,0.8260869565217391,24.0
A,0.6206896551724138,0.8571428571428571,0.72,21.0
A+,1.0,0.5714285714285714,0.7272727272727273,7.0
AA-,1.0,1.0,1.0,1.0
AA,1.0,1.0,1.0,2.0
AA+,0.0,0.0,0.0,0.0
AAA,0.0,0.0,0.0,0.0
accuracy,0.7344398340248963,0.7344398340248963,0.7344398340248963,0.7344398340248963
macro avg,0.6943723782748165,0.6366059987532025,0.6507399047996218,241.0
weighted avg,0.7542012028412216,0.7344398340248963,0.733161919837223,241.0
