,precision,recall,f1-score,support
D,0.0,0.0,0.0,1.0
CC,1.0,0.5,0.6666666666666666,2.0
CCC-,1.0,1.0,1.0,3.0
CCC,0.4,0.6666666666666666,0.5,3.0
CCC+,1.0,0.625,0.7692307692307693,8.0
B-,0.6666666666666666,0.6666666666666666,0.6666666666666666,12.0
B,0.7777777777777778,0.7,0.7368421052631579,10.0
B+,0.6,0.75,0.6666666666666666,8.0
BB-,0.5882352941176471,0.7692307692307693,0.6666666666666666,13.0
BB,0.7857142857142857,0.6470588235294118,0.7096774193548387,17.0
BB+,0.7272727272727273,0.4444444444444444,0.5517241379310345,18.0
BBB-,0.6551724137931034,0.6551724137931034,0.6551724137931034,29.0
BBB,0.6666666666666666,0.8108108108108109,0.7317073170731707,37.0
BBB+,0.7777777777777778,0.84,0.8076923076923077,25.0
A-,0.8636363636363636,0.7916666666666666,0.8260869565217391,24.0
A,0.75,0.8571428571428571,0.8,21.0
A+,1.0,0.5714285714285714,0.7272727272727273,7.0
AA-,1.0,1.0,1.0,1.0
AA,1.0,1.0,1.0,2.0
AA+,0.0,0.0,0.0,0.0
AAA,0.0,0.0,0.0,0.0
accuracy,0.7261410788381742,0.7261410788381742,0.7261410788381742,0.7261410788381742
macro avg,0.6789961892106198,0.633108985256189,0.6420034676571198,241.0
weighted avg,0.740503204928394,0.7261410788381742,0.7233760399296588,241.0
