,precision,recall,f1-score,support
D,0.0,0.0,0.0,1.0
CC,0.25,0.5,0.3333333333333333,2.0
CCC-,1.0,1.0,1.0,3.0
CCC,0.25,0.6666666666666666,0.36363636363636365,3.0
CCC+,0.625,0.625,0.625,8.0
B-,0.75,0.5,0.6,12.0
B,0.4444444444444444,0.4,0.42105263157894735,10.0
B+,0.42857142857142855,0.75,0.5454545454545454,8.0
BB-,0.29411764705882354,0.38461538461538464,0.3333333333333333,13.0
BB,0.5555555555555556,0.29411764705882354,0.38461538461538464,17.0
BB+,0.4,0.3333333333333333,0.36363636363636365,18.0
BBB-,0.4375,0.2413793103448276,0.3111111111111111,29.0
BBB,0.6956521739130435,0.43243243243243246,0.5333333333333333,37.0
BBB+,0.4827586206896552,0.56,0.5185185185185185,25.0
A-,0.6333333333333333,0.7916666666666666,0.7037037037037037,24.0
A,0.6363636363636364,0.6666666666666666,0.6511627906976745,21.0
A+,0.35294117647058826,0.8571428571428571,0.5,7.0
AA-,0.25,1.0,0.4,1.0
AA,0.4,1.0,0.5714285714285714,2.0
AA+,0.0,0.0,0.0,0.0
AAA,0.0,0.0,0.0,0.0
accuracy,0.5062240663900415,0.5062240663900415,0.5062240663900415,0.5062240663900415
macro avg,0.4231541912571671,0.5239533792822696,0.4361580944943421,241.0
weighted avg,0.535978465892861,0.5062240663900415,0.4990608755567084,241.0
