,precision,recall,f1-score,support
CC,0.0,0.0,0.0,2.0
CCC-,0.75,1.0,0.8571428571428571,3.0
CCC,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
CCC+,0.75,0.75,0.75,8.0
B-,0.5,0.5833333333333334,0.5384615384615384,12.0
B,0.7142857142857143,0.5,0.5882352941176471,10.0
B+,0.5,0.5,0.5,8.0
BB-,0.375,0.6923076923076923,0.4864864864864865,13.0
BB,0.5625,0.5294117647058824,0.5454545454545454,17.0
BB+,0.6,0.5,0.5454545454545454,18.0
BBB-,0.6,0.41379310344827586,0.4897959183673469,29.0
BBB,0.8,0.6486486486486487,0.7164179104477612,37.0
BBB+,0.6896551724137931,0.8,0.7407407407407407,25.0
A-,0.7307692307692307,0.7916666666666666,0.76,24.0
A,0.6296296296296297,0.8095238095238095,0.7083333333333334,21.0
A+,0.8333333333333334,0.7142857142857143,0.7692307692307693,7.0
AA-,1.0,1.0,1.0,1.0
AA,1.0,1.0,1.0,2.0
accuracy,0.6375,0.6375,0.6375,0.6375
macro avg,0.631583689653613,0.6425724481251864,0.6293937373650502,240.0
weighted avg,0.6477739731134128,0.6375,0.6335842983822128,240.0
