,precision,recall,f1-score,support
CC,0.0,0.0,0.0,2.0
CCC-,1.0,1.0,1.0,3.0
CCC,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
CCC+,1.0,0.875,0.9333333333333333,8.0
B-,0.7692307692307693,0.8333333333333334,0.8,12.0
B,0.75,0.6,0.6666666666666666,10.0
B+,0.6666666666666666,0.75,0.7058823529411765,8.0
BB-,0.5833333333333334,0.5384615384615384,0.56,13.0
BB,0.6111111111111112,0.6470588235294118,0.6285714285714286,17.0
BB+,0.7,0.3888888888888889,0.5,18.0
BBB-,0.7142857142857143,0.6896551724137931,0.7017543859649122,29.0
BBB,0.725,0.7837837837837838,0.7532467532467533,37.0
BBB+,0.7777777777777778,0.84,0.8076923076923077,25.0
A-,0.8695652173913043,0.8333333333333334,0.851063829787234,24.0
A,0.5806451612903226,0.8571428571428571,0.6923076923076923,21.0
A+,1.0,0.5714285714285714,0.7272727272727273,7.0
AA-,0.5,1.0,0.6666666666666666,1.0
AA,1.0,1.0,1.0,2.0
accuracy,0.725,0.725,0.725,0.725
macro avg,0.7174601343196482,0.7152640538323433,0.7033958228398647,240.0
weighted avg,0.7299298689564293,0.725,0.7186707933705332,240.0
