,precision,recall,f1-score,support
CC,0.5,1.0,0.6666666666666666,1.0
CCC-,1.0,1.0,1.0,1.0
B-,0.3333333333333333,0.5,0.4,4.0
B,1.0,1.0,1.0,1.0
B+,0.0,0.0,0.0,2.0
BB-,0.75,0.75,0.75,4.0
BB,0.5,0.8,0.6153846153846154,5.0
BB+,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
BBB-,1.0,0.6,0.75,5.0
BBB,0.4,0.3333333333333333,0.36363636363636365,6.0
BBB+,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
A-,0.75,0.6,0.6666666666666666,5.0
A,0.3333333333333333,0.6666666666666666,0.4444444444444444,3.0
A+,0.0,0.0,0.0,3.0
accuracy,0.5652173913043478,0.5652173913043478,0.5652173913043478,0.5652173913043478
macro avg,0.5642857142857143,0.613095238095238,0.5707237207237207,46.0
weighted avg,0.5539855072463769,0.5652173913043478,0.5422190128711868,46.0
